8192 90111
0 1 8
0 111 15
0 4667 8
0 147 1
0 5758 20
0 5813 7
0 1280 3
1 2 16
1 829 5
1 4028 8
1 3429 15
1 6695 11
2 3 20
2 219 14
2 3235 9
2 5591 8
2 3455 2
2 1712 18
2 2946 2
2 6589 3
3 4 4
3 2899 2
3 6420 16
3 5641 3
3 4822 18
3 3945 20
3 6669 19
3 2273 5
3 3885 2
3 6960 7
3 4441 3
3 7527 9
4 5 15
4 4645 11
4 1956 1
4 599 20
4 1289 2
4 5694 7
4 3174 11
5 6 16
5 7013 20
5 2301 18
5 711 20
5 5809 11
5 5101 10
5 2931 13
5 6727 20
5 6666 4
5 6706 14
5 3756 11
5 7653 13
5 2960 16
5 300 4
5 2321 2
6 7 12
6 5887 12
6 2707 4
6 6109 10
6 3089 16
6 3003 13
6 6411 18
6 2127 12
6 3781 8
7 8 12
7 1807 19
7 4984 20
7 8079 20
7 4166 6
7 5231 3
7 5956 6
7 3375 7
7 5405 4
7 285 9
8 9 4
8 5971 13
8 2691 19
8 3248 10
8 818 12
8 4375 14
8 526 17
8 3515 7
8 5725 9
8 1651 19
8 5876 9
8 4908 13
9 10 9
9 7288 6
9 4385 19
9 7505 1
9 6252 9
9 4830 1
9 4900 9
9 5838 14
9 7731 10
10 11 4
10 919 18
10 511 7
10 6687 7
10 1821 19
10 2854 2
10 793 5
10 5335 12
10 865 1
10 8164 13
10 6496 18
10 4332 14
10 8082 10
10 1991 6
10 7364 18
10 6259 15
11 12 2
11 6170 9
11 4175 10
11 4832 12
11 5490 7
11 4228 12
11 7645 12
11 1406 9
11 3958 11
11 1194 19
11 5090 18
11 55 5
11 56 6
11 6174 16
12 13 2
12 2528 18
12 4708 12
12 7141 6
12 7017 2
12 4295 19
12 3347 7
12 1616 3
12 1215 16
12 980 12
12 3977 6
12 1109 3
12 2271 14
13 14 10
13 2826 8
13 1670 17
13 987 17
13 2084 1
13 7124 4
13 571 3
13 7485 9
13 7550 6
13 2404 17
14 15 18
14 565 5
14 4730 12
14 2297 13
14 903 6
14 329 16
14 6614 14
14 2873 11
15 16 7
15 3554 8
15 7049 20
15 2837 7
15 4080 20
15 3719 16
15 2959 16
15 4133 10
15 5431 1
16 17 13
16 1758 19
16 7945 16
16 3369 8
16 2872 7
16 1044 4
16 1338 2
16 4251 18
16 597 10
16 308 16
16 7158 3
17 18 3
17 3886 6
17 2706 8
17 1364 14
17 7824 18
17 3328 5
17 3573 13
17 1185 20
17 7153 9
17 7334 16
17 6982 19
17 4473 10
17 3728 9
17 8082 16
18 19 15
